origin,dist,orig_latt,orig_long,dist_latt,dist_long,weight,distance,travel_type_id,duration
1264,1334,41.0115,28.9833,41.0312,28.9391,473,15252,1,47.3
1264,1336,41.0115,28.9833,41.0042,28.9773,9,265,1,0.9
1264,1338,41.0115,28.9833,41.0422,28.9485,473,15252,1,47.3
1264,1339,41.0115,28.9833,41.0479,28.9337,473,15252,1,47.3
1264,1341,41.0115,28.9833,41.0311,28.9391,473,15252,1,47.3
1264,1343,41.0115,28.9833,41.0062,28.9747,1,48,1,0.1
1264,1346,41.0115,28.9833,41.026455,28.980856,41,1382,1,4.1
1264,1350,41.0115,28.9833,41.0391,29.0004,39,1321,1,3.9
1264,1360,41.0115,28.9833,41.027418,28.983277,39,1325,1,3.9
1264,1397,41.0115,28.9833,41.0429,28.9348,473,15252,1,47.3
1264,1400,41.0115,28.9833,41.0096,28.9818,2,72,1,0.2
1264,1401,41.0115,28.9833,41.0266,28.9844,35,1193,1,3.5
1268,1249,41.0258,28.9744,41.024561,28.979458,372,10996,1,37.2
1268,1251,41.0258,28.9744,41.026726,28.981262,369,10919,1,36.9
1268,1259,41.0258,28.9744,41.01586,28.955911,21,697,1,2.1
1268,1261,41.0258,28.9744,41.037647,28.996266,368,10865,1,36.8
1268,1263,41.0258,28.9744,41.031442,28.936176,92,2950,1,9.2
1268,1264,41.0258,28.9744,41.0115,28.9833,416,12301,1,41.6
1268,1268,41.0258,28.9744,41.0258,28.9744,0,0,1,0
1268,1269,41.0258,28.9744,41.0426,29.0398,437,12932,1,43.7
1268,1271,41.0258,28.9744,41.01766,28.9688,371,10964,1,37.1
1268,1272,41.0258,28.9744,41.0161,28.9642,2,86,1,0.2
1268,1273,41.0258,28.9744,41.007915,28.979345,418,12374,1,41.8
1268,1275,41.0258,28.9744,41.0168,28.9719,379,11211,1,37.9
1268,1276,41.0258,28.9744,41.0117,28.9813,412,12171,1,41.2
1268,1280,41.0258,28.9744,41.0085,28.9801,418,12368,1,41.8
1268,1284,41.0258,28.9744,41.0053,28.9768,421,12447,1,42.1
1268,1286,41.0258,28.9744,41.037002,28.985092,0,17,1,0
1268,1291,41.0258,28.9744,41.0492,29.0111,364,10748,1,36.4
1268,1292,41.0258,28.9744,41.0848,29.0567,352,10385,1,35.2
1268,1293,41.0258,28.9744,41.0292,28.9611,39,1248,1,3.9
1268,1294,41.0258,28.9744,40.9735,28.7844,15568,479447,1,1539.5
1268,1295,41.0258,28.9744,41.01903,28.95036,42,1342,1,4.2
1268,1296,41.0258,28.9744,41.0047,28.97222,414,12236,1,41.4
1268,1297,41.0258,28.9744,41.0127,28.96448,377,11130,1,37.7
1268,1298,41.0258,28.9744,40.9643,28.7995,15571,479545,1,1539.8
1268,1299,41.0258,28.9744,41.0085,28.98108,420,12424,1,42
1268,1319,41.0258,28.9744,41.0211,29.0041,429,12687,1,42.9
1268,1320,41.0258,28.9744,41.0379,29.9553,3355,78205,1,332.7
1268,1326,41.0258,28.9744,41.0083,28.9778,414,12254,1,41.4
1268,1328,41.0258,28.9744,40.8766,29.0906,695,20914,1,69.5
1268,1329,41.0258,28.9744,41.0793,29.06509,383,11320,1,38.3
1268,1332,41.0258,28.9744,41.1197,29.0254,87,2782,1,8.7
1268,1334,41.0258,28.9744,41.0312,28.9391,92,2950,1,9.2
1268,1336,41.0258,28.9744,41.0042,28.9773,425,12567,1,42.5
1268,1338,41.0258,28.9744,41.0422,28.9485,92,2950,1,9.2
1268,1339,41.0258,28.9744,41.0479,28.9337,92,2950,1,9.2
1268,1341,41.0258,28.9744,41.0311,28.9391,92,2950,1,9.2
1268,1343,41.0258,28.9744,41.0062,28.9747,414,12252,1,41.4
1268,1346,41.0258,28.9744,41.026455,28.980856,369,10918,1,36.9
1268,1350,41.0258,28.9744,41.0391,29.0004,372,10979,1,37.2
1268,1360,41.0258,28.9744,41.027418,28.983277,371,10976,1,37.1
1268,1397,41.0258,28.9744,41.0429,28.9348,92,2950,1,9.2
1268,1400,41.0258,28.9744,41.0096,28.9818,418,12374,1,41.8
1268,1401,41.0258,28.9744,41.0266,28.9844,376,11108,1,37.6
1269,1249,41.0426,29.0398,41.024561,28.979458,57,1935,1,5.7
1269,1251,41.0426,29.0398,41.026726,28.981262,59,2013,1,5.9
1269,1259,41.0426,29.0398,41.01586,28.955911,421,13629,1,42.1
1269,1261,41.0426,29.0398,41.037647,28.996266,61,2067,1,6.1
1269,1263,41.0426,29.0398,41.031442,28.936176,491,15882,1,49.1
1269,1264,41.0426,29.0398,41.0115,28.9833,18,630,1,1.8
1269,1268,41.0426,29.0398,41.0258,28.9744,399,12932,1,39.9
1269,1269,41.0426,29.0398,41.0426,29.0398,0,0,1,0
1269,1271,41.0426,29.0398,41.01766,28.9688,58,1968,1,5.8
1269,1272,41.0426,29.0398,41.0161,28.9642,402,13018,1,40.2
1269,1273,41.0426,29.0398,41.007915,28.979345,16,557,1,1.6
1269,1275,41.0426,29.0398,41.0168,28.9719,51,1720,1,5.1
1269,1276,41.0426,29.0398,41.0117,28.9813,22,761,1,2.2
1269,1280,41.0426,29.0398,41.0085,28.9801,16,563,1,1.6
1269,1284,41.0426,29.0398,41.0053,28.9768,14,485,1,1.4
